Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power,Torque,Odometer,Speedometer,Seating_Capacity,Seats_Material,Audiosystem,Basic_Warranty,Child_Safety_Locks,Handbrake
Audi,A3 Cabriolet,40 Tfsi,"Rs. 50,38,000",1395 cc,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,50 litres,Petrol,1409 mm,4421 mm,1793 mm,Convertible,2,19.2 km/litre,,19.2 km/litre,1430 kg,7,160 mm,Ventilated Disc,Ventilated Disc,McPherson Strut,Multi - link,205 / 55 R16,205 / 55 R16,148 bhp @ 5100 rpm,250 Nm @ 1250 RPM,Digital,Analog,4,Leather,CD/MP3/DVD Player with USB & Aux-in,,Yes,Manual
Audi,A6,Premium Plus 45 Tfsi,"Rs. 54,42,200",1984 cc,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,73 litres,Petrol,1455 mm,4933 mm,1874 mm,Sedan,4,,,14.11 km/litre,1780 kg,7,,Ventilated Disc,Ventilated Disc,Five-link front suspension; tubular anti-roll bar,Five-link front suspension; tubular anti-roll bar,225/55 R18,225/55 R18,245PS@5000-6500rpm,370Nm@1600-4500rpm,Digital,Analog,5,Leather,CD/MP3/DVD Player with USB & Aux-in,,Yes,Automatic
Audi,A6,Technology 45 Tfsi,"Rs. 59,42,200",1984 cc,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,73 litres,Petrol,1455 mm,4933 mm,1874 mm,Sedan,4,,,14.11 km/litre,1780 kg,7,,Ventilated Disc,Ventilated Disc,Five-link front suspension; tubular anti-roll bar,Five-link front suspension; tubular anti-roll bar,225/55 R18,225/55 R18,245PS@5000-6500rpm,370Nm@1600-4500rpm,Digital,Analog,5,Leather,CD/MP3/DVD Player with USB & Aux-in,,Yes,Automatic
Audi,S5,Sportback,"Rs. 72,43,000",2995 cc,6,AWD (All Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,58 litres,Petrol,1384 mm,4718 mm,1843 mm,Sedan,4,,,13.57 km/litre,1790 kg,7,,Ventilated Disc,Ventilated Disc,S sport suspension,S sport suspension,245/40R18,245/40R18,333PS@5400-6400RPM,500Nm@1370-4500rpm,Digital,Analog,5,Leather,CD/MP3/DVD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Automatic
Audi,Rs5,Coupe,"Rs. 1,11,41,200",2894 cc,8,AWD (All Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,58 litres,Petrol,,4649 mm,,Coupe,2,,,10.8 km/litre,1770 kg,7,160 mm,Ventilated Disc,Ventilated Disc,"Five-link front suspension, upper and lower wishbones, tubular anti-roll bar","trapezoidal-link rear suspension with resiliently mounted subframe, anti-roll bar",265/35R19,265/35R19,450PS@5700-6700rpm,600Nm@1900-5000rpm,Digital,Analog,4,Leather,DVD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Automatic
Audi,Q8,55 Tfsi Quattro Tiptronic,"Rs. 1,33,59,500",2995 cc,4,AWD (All Wheel Drive),V,BS 6,"Front, Longitudinal",Injection,85 litres,Petrol,1740 mm,5052 mm,1968 mm,SUV,5,,,,2115 kg,8,200 mm,Ventilated Disc,Ventilated Disc,adaptive air suspesion,adaptive air suspesion,275/50 R20,275/50 R20,340PS@5000rpm,500Nm@1370rpm,Digital,"Analog, Digital",7,Leather,DVD Player with USB & Aux-in,2 Years Warranty,Yes,Automatic
Audi,A8 L,55 Tfsi Quattro,"Rs. 1,56,00,000",2995 cc,8,AWD (All Wheel Drive),V,BS 6,"Front, Longitudinal",Injection,82 litres,Petrol,1485 mm,5302 mm,1945 mm,Sedan,4,,,,2030 kg,8,,Ventilated Disc,Ventilated Disc,Five-link front axle; tubular anti-roll bar air spring suspension,Five-link rear axle tubular anti-roll bar; air spring suspension,255/45 R19,255/45 R19,340PS@5000rpm,500Nm@1370rpm,Digital,"Analog, Digital",4,Leather,DVD Player with USB & Aux-in,2 Years Warranty,Yes,Automatic
Audi,Q5,35 Tdi Premium Plus,"Rs. 50,21,200",1968 cc,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,64 litres,Diesel,1608 mm,4388 mm,1831 mm,SUV,5,12 km/litre,,16.9 km/litre,1585 kg,7,170 mm,Ventilated Disc,Ventilated Disc,"Mac Pherson type with coil spring, stabiliser bar and double acting shock absorber","Double wishbones, two-way adjustable VPS gas-hydraulic shock absorbers, pushrod operated",235 / 60 R18,235 / 60 R18,190PS@3800-4000rpm,400Nm@1750-2500rpm,Digital,Analog,5,Leather,DVD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Manual
Audi,Q5,35 Tdi Technology,"Rs. 56,21,200",1968 cc,4,AWD (All Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,64 litres,Diesel,1608 mm,4388 mm,1831 mm,SUV,5,12 km/litre,,15.73 km/litre,1585 kg,7,170 mm,Ventilated Disc,Ventilated Disc,"Mac Pherson type with coil spring, stabiliser bar and double acting shock absorber","Double wishbones, two-way adjustable VPS gas-hydraulic shock absorbers, pushrod operated",235 / 60 R18,235 / 60 R18,190PS@3800-4000rpm,400Nm@1750-2500rpm,Digital,Analog,5,Leather,DVD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Manual
Audi,Q5,45 Tfsi Premium Plus,"Rs. 50,21,200",1984 cc,6,AWD (All Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,70 litres,Petrol,1659 mm,4663 mm,1898 mm,SUV,5,,,12.44 km/litre,1955 kg,7,200 mm,Ventilated Disc,Ventilated Disc,5 link independent steel spring,Trapezoidal link independent steel spring,235/60R18,235/60R18,248 bhp @ 5000-6000 rpm,370 Nm @ 1600-4500 rpm,Digital,Analog,5,Leather,CD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Automatic
Audi,Q5,45 Tfsi Technology,"Rs. 56,21,200",1984 cc,6,AWD (All Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,70 litres,Petrol,1659 mm,4663 mm,1898 mm,SUV,5,,,12.44 km/litre,1955 kg,7,200 mm,Ventilated Disc,Ventilated Disc,5 link independent steel spring,Trapezoidal link independent steel spring,235/60R18,235/60R18,248 bhp @ 5000-6000 rpm,370 Nm @ 1600-4500 rpm,Digital,Analog,5,Leather,CD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Automatic
Audi,Q7,45 Tdi Premium Plus,"Rs. 72,21,500",2967 cc,6,AWD (All Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,75 litres,Diesel,1740 mm,5052 mm,1968 mm,SUV,5,9.3 km/litre,12.6 km/litre,14.75 km/litre,2330 kg,8,200 mm,Ventilated Disc,Ventilated Disc,adaptive air suspesion,adaptive air suspesion,255/60R18,255/60R18,249PS@4500RPM,600Nm@1500-3000rpm,Digital,Digital,7,Leather,CD/MP3/DVD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Automatic
Audi,Q7,45 Tdi Technology Pack,"Rs. 80,21,500",2967 cc,6,AWD (All Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,75 litres,Diesel,1740 mm,5052 mm,1968 mm,SUV,5,9.3 km/litre,12.6 km/litre,14.75 km/litre,2330 kg,8,200 mm,Ventilated Disc,Ventilated Disc,adaptive air suspesion,adaptive air suspesion,255/55R19,255/55R19,249PS@4500RPM,600Nm@1500-3000rpm,Digital,Digital,7,Leather,CD/MP3/DVD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Automatic
Audi,Q7,40 Tfsi Quattro Premium Plus,"Rs. 69,21,500",1984 cc,6,AWD (All Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,75 litres,Petrol,1740 mm,5052 mm,1968 mm,SUV,5,,,11.68 km/litre,2330 kg,8,200 mm,Ventilated Disc,Ventilated Disc,adaptive air suspesion,adaptive air suspesion,255/60R19,255/60R19,252PS@4500RPM,370Nm@1600-4500rpm,Digital,Digital,7,Leather,CD/MP3/DVD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Automatic
Audi,Q7,40 Tfsi Quattro Technology Pack,"Rs. 76,21,500",1984 cc,6,AWD (All Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,75 litres,Petrol,1740 mm,5052 mm,1968 mm,SUV,5,,,,2330 kg,8,200 mm,Ventilated Disc,Ventilated Disc,adaptive air suspesion,adaptive air suspesion,255/55R19,255/55R19,252PS@5000-6000rpm,370Nm@1600-4500rpm,Digital,Digital,7,Leather,CD/MP3/DVD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Automatic
Audi,Q7,45 Tdi Black Styling,"Rs. 81,11,500",2967 cc,6,AWD (All Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,75 litres,Diesel,1740 mm,5052 mm,1968 mm,SUV,5,9.3 km/litre,12.6 km/litre,14.75 km/litre,2330 kg,8,200 mm,Ventilated Disc,Ventilated Disc,adaptive air suspesion,adaptive air suspesion,255/55R19,255/55R19,249PS@4500RPM,600Nm@1500-3000rpm,Digital,Digital,7,Leather,CD/MP3/DVD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Automatic
Audi,Q7,40 Tfsi Quattro Black Styling,"Rs. 77,11,500",1984 cc,6,AWD (All Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,75 litres,Petrol,1740 mm,5052 mm,1968 mm,SUV,5,,,,2330 kg,8,200 mm,Ventilated Disc,Ventilated Disc,adaptive air suspesion,adaptive air suspesion,255/55R19,255/55R19,252PS@5000-6000rpm,370Nm@1600-4500rpm,Digital,Digital,7,Leather,CD/MP3/DVD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Automatic
Audi,Rs7,Sportback,"Rs. 1,70,72,000",3993 cc,8,AWD (All Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,75 litres,Petrol,1419 mm,5012 mm,1911 mm,"Sedan, Coupe",4,5.6 km/litre,9 km/litre,9.8 km/litre,1995 kg,8,109 mm,Ventilated Disc,Ventilated Disc,adaptive air suspesion,adaptive air suspesion,275/35R20,275/35R20,560PS@6600RPM,700Nm@1750-5500rpm,Digital,Analog,4,Leather,DVD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Automatic
Audi,A5 Cabriolet,2.0 Tdi,"Rs. 69,48,200",1968 cc,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,58 litres,Diesel,1386 mm,4733 mm,1843 mm,Convertible,2,,,17.2 km/litre,1875 kg,7,,Ventilated Disc,Ventilated Disc,,,245/40 R18,245/40 R18,190ps @ 3800-4200rpm,400Nm @1750-3000rpm,Yes,Digital,4,Leather,CD/MP3/DVD Player with USB & Aux-in,,Yes,Automatic
Audi,A5,Sportback,"Rs. 60,61,200",1968 cc,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,,Diesel,1386 mm,4733 mm,1843 mm,Sedan,4,,,19.2 km/litre,2115 kg,7,,Ventilated Disc,Ventilated Disc,,,245/40 R18,245/40 R18,190ps @ 3800-4200rpm,400Nm @1750-3000rpm,Yes,Digital,5,Leather,CD/MP3/DVD Player with USB & Aux-in,,Yes,Automatic
Bmw,X3,Xdrive 20D Luxury Line,"Rs. 59,30,000",1995 cc,4,4WD,In-line,BS IV,"Front, Longitudinal",Injection,67 litres,Diesel,1678 mm,4657 mm,1881 mm,SUV,5,16 km/litre,18.56 km/litre,18.56 km/litre,1785 kg,8,212 mm,Ventilated Disc,Ventilated Disc,Dynamic Damper Control,Dynamic Damper Control,225/60R19,225/60R19,190PS@4000rpm,400Nm@1750-2500rpm,Digital,Analog,5,Leather,CD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Automatic
Bmw,X3,Xdrive 30I Luxury Line,"Rs. 58,80,000",1998 cc,4,4WD,In-line,BS IV,"Front, Longitudinal",Injection,67 litres,Petrol,1678 mm,4657 mm,1881 mm,SUV,5,16 km/litre,18.56 km/litre,18.56 km/litre,1785 kg,8,212 mm,Ventilated Disc,Ventilated Disc,Dynamic Damper Control,Dynamic Damper Control,245 / 50R19,245 / 50R19,248 bhp @ 5200 rpm,350 Nm @ 1450 rpm,Digital,Analog,5,Leather,CD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Automatic
Bmw,X3,Xdrive20D Xline,"Rs. 56,00,000",1995 cc,4,4WD,In-line,BS IV,"Front, Longitudinal",Injection,67 litres,Diesel,1678 mm,4657 mm,1881 mm,SUV,5,16 km/litre,18.56 km/litre,18.56 km/litre,1785 kg,8,212 mm,Ventilated Disc,Ventilated Disc,Dynamic Damper Control,Dynamic Damper Control,225/60R19,225/60R19,190PS@4000rpm,400Nm@1750-2500rpm,Digital,Analog,5,Leather,CD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Automatic
Bmw,X5,Xdrive30D Sport,"Rs. 73,30,000",2993 cc,6,AWD (All Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,,Diesel,1745 mm,4922 mm,2218 mm,SUV,5,,,13.38 km/litre,,8,,Ventilated Disc,Ventilated Disc,Sports suspension settings,Self-levelling with pneumatic rear suspension,255/50R19,255/50R19,265HP@4000rpm,620Nm@1500-2500rpm,Digital,Analog,5,Leather,CD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Automatic
Bmw,X5,Xdrive30D Xline,"Rs. 82,90,000",2993 cc,6,AWD (All Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,,Diesel,1745 mm,4922 mm,2218 mm,SUV,5,,,13.38 km/litre,,8,,Ventilated Disc,Ventilated Disc,Sports suspension settings,Self-levelling with pneumatic rear suspension,255/50R19,255/50R19,265HP@4000rpm,620Nm@1500-2500rpm,Digital,Analog,5,Leather,CD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Automatic
Bmw,X5,Xdrive40I M Sport,"Rs. 82,90,000",2998 cc,6,AWD (All Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,,Petrol,1745 mm,4922 mm,2218 mm,SUV,5,,,11.24 km/litre,,8,,Ventilated Disc,Ventilated Disc,Sports suspension settings,Self-levelling with pneumatic rear suspension,255/50R19,255/50R19,340HP@4000rpm,450Nm@1500-5200rpm,Digital,Analog,5,Leather,CD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Automatic
Bmw,M2 Competition,Coupe,"Rs. 81,80,000",2979 cc,6,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,52 litres,Petrol,1410 mm,4461 mm,1854 mm,Coupe,2,12.5-12.7 km/litre,8.3-8.4 km/litre,9.8-10.0 km/litre,1625 kg,7,,Ventilated Disc,Ventilated Disc,Adaptive M Suspension,Adaptive M Suspension,245/35ZR19,265/35ZR19,410hp@5230-7000RPM,550Nm@2350-5230rpm,Digital,Analog,4,Leather,DVD Player with USB & Aux-in,2 years / Unlimited Kms,,Automatic
Bmw,7-Series,730Ld Design Pure Excellence,"Rs. 1,22,90,000",2993 cc,6,AWD (All Wheel Drive),V,BS 6,"Front, Longitudinal",Injection,78 litres,Diesel,1479 mm,5120 mm,2169 mm,Sedan,4,13.5 km/litre,16.46 km/litre,17.66 km/litre,,8,152 mm,Ventilated Disc,Ventilated Disc,Adaptive 2-axle air suspension,Adaptive 2-axle air suspension,(245/50 R18,(245/50 R18,265PS@4000RPM,620Nm@2000-2500RPM,Digital,"Analog, Digital",4,Leather,CD/MP3/DVD Player with USB & Aux-in,"3 years/40,000 km",Yes,Automatic
Bmw,7-Series,730Ld Design Pure Excellence Signature,"Rs. 1,32,00,000",2993 cc,6,AWD (All Wheel Drive),V,BS 6,"Front, Longitudinal",Injection,78 litres,Diesel,1479 mm,5120 mm,2169 mm,Sedan,4,13.5 km/litre,16.46 km/litre,17.66 km/litre,,8,152 mm,Ventilated Disc,Ventilated Disc,Adaptive 2-axle air suspension,Adaptive 2-axle air suspension,245/45 R19,275/40 R19,265PS@4000RPM,620Nm@2000-2500RPM,Digital,Analog,4,Leather,CD/MP3/DVD Player with USB & Aux-in,"3 years/40,000 km",Yes,Automatic
Bmw,7-Series,730Ld M Sport,"Rs. 1,35,10,000",2993 cc,6,AWD (All Wheel Drive),V,BS 6,"Front, Longitudinal",Injection,78 litres,Diesel,1479 mm,5120 mm,2169 mm,Sedan,4,13.5 km/litre,16.46 km/litre,17.66 km/litre,,8,152 mm,Ventilated Disc,Ventilated Disc,Adaptive 2-axle air suspension,Adaptive 2-axle air suspension,245/45 R19,275/40 R19,265PS@4000RPM,620Nm@2000-2500RPM,Digital,Analog,4,Leather,CD/MP3/DVD Player with USB & Aux-in,"3 years/40,000 km",Yes,Automatic
Bmw,7-Series,740Li Design Pure Excellence Signature,"Rs. 1,35,10,000",2998 cc,6,AWD (All Wheel Drive),V,BS 6,"Front, Longitudinal",Injection,78 litres,Petrol,1479 mm,5120 mm,2169 mm,Sedan,4,,,11.86 km/litre,,8,152 mm,Ventilated Disc,Ventilated Disc,Adaptive 2-axle air suspension,Adaptive 2-axle air suspension,245/45 R19,275/40 R19,340PS@5500-6500RPM,450Nm@1500-5200rpm,Digital,Analog,4,Leather,CD/MP3/DVD Player with USB & Aux-in,,Yes,Automatic
Bmw,7-Series,745Le Xdrive,"Rs. 1,65,00,000",2998 cc,6,AWD (All Wheel Drive),V,BS 6,"Front, Longitudinal",Injection,46 litres,Hybrid,1481 mm,5219 mm,2142 mm,Sedan,4,,,,,8,152 mm,Ventilated Disc,Ventilated Disc,Adaptive 2-axle air suspension,Adaptive 2-axle air suspension,(245/50 R18,(245/50 R18,286PS@5000-6000RPM,450Nm@1380-5000RPM,Digital,Analog,4,Leather,CD/MP3/DVD Player with USB & Aux-in,,Yes,Automatic
Bmw,7-Series,M760Li Xdrive,"Rs. 2,42,50,000",6592 cc,12,AWD (All Wheel Drive),V,BS 6,"Front, Longitudinal",Injection,78 litres,Petrol,1481 mm,5219 mm,2142 mm,Sedan,4,,,7.96 km/litre,,8,152 mm,Ventilated Disc,Ventilated Disc,Adaptive 2-axle air suspension,Adaptive 2-axle air suspension,245/40 R20,275/35 R20,609PS@5400-6500RPM,850Nm@1550-5000RPM,Digital,Analog,4,Leather,CD/MP3/DVD Player with USB & Aux-in,,Yes,Automatic
Bmw,X1,Sdrive20D Expedition,"Rs. 35,20,000",1995 cc,4,AWD (All Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,51 litres,Diesel,1612 mm,4439 mm,2060 mm,"Crossover, SUV",5,18 km/litre,20.68 km/litre,20.68 km/litre,,8,165 mm,Ventilated Disc,Ventilated Disc,Double joint strut front axle,multi-arm rear axle,225/55R17,225/55R17,190hp@4000rpm,400Nm@1750-2500rpm,Digital,Analog,5,Leather,CD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Automatic
Bmw,X1,Sdrive20D Xline,"Rs. 39,30,000",1995 cc,4,AWD (All Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,51 litres,Diesel,1612 mm,4439 mm,2058 mm,"SUV, Crossover",5,18 km/litre,20.68 km/litre,20.68 km/litre,,8,165 mm,Ventilated Disc,Ventilated Disc,Double joint strut front axle,multi-arm rear axle,225/50 R18,225/50 R18,190PS@4000rpm,400Nm@1750-2500rpm,Digital,Analog,5,Leather,CD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Automatic
Bmw,X1,Xdrive20D M Sport,"Rs. 45,70,000",1995 cc,4,AWD (All Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,51 litres,Diesel,1612 mm,4439 mm,2058 mm,"SUV, Crossover",5,18 km/litre,20.68 km/litre,20.68 km/litre,,8,165 mm,Ventilated Disc,Ventilated Disc,Double joint strut front axle,multi-arm rear axle,225/50 R18,225/50 R18,190PS@4000rpm,400Nm@1750-2500rpm,Digital,Analog,5,Leather,CD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Automatic
Bmw,X1,Sdrive20D M Sport,"Rs. 42,40,000",1995 cc,4,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,61 litres,Diesel,1545 mm,4477 mm,2058 mm,SUV,5,,,17.05 km/litre,1670 kg,8,179 mm,Ventilated Disc,Ventilated Disc,MacPherson Strut,Multi-link coil spring,225/40R18,225/40R18,187bhp@4000rpm,400Nm@1750-2500rpm,Digital,Analog,5,Leather,CD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Automatic
